Date,Writing,Notes (Writing),Didn’t spend frivolously (3 month goal),Notes (Didn’t spend frivolously (3 month goal)),Didn’t order out,Notes (Didn’t order out),Meditating,Notes (Meditating),Exercising / 10K Steps,Notes (Exercising / 10K Steps),Time Outdoors (3x week),Notes (Time Outdoors (3x week)),Community,Notes (Community),Read,Notes (Read),Take Vitamins,Notes (Take Vitamins),Journaling,Notes (Journaling)
2017-11-30,-,-,-,-,-,-,Red,-,Red,-,-,-,-,-,-,-,Green,-,-,-
2017-12-01,-,-,-,-,-,-,Red,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2017-12-02,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2017-12-03,-,-,-,-,-,-,Red,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2017-12-04,-,-,-,-,-,-,Red,-,Green,"New routine start: 
- 20 push ups (10x2)
- 6 chin ups (3x2)
- 75 kettlebell swings (15lbs)
- 5 dislocates
- bar hang and a couple leg lifts",-,-,-,-,-,-,Green,-,-,-
2017-12-05,-,-,-,-,-,-,Red,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2017-12-06,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2017-12-07,-,-,-,-,-,-,Red,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2017-12-08,-,-,-,-,-,-,Red,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2017-12-09,-,-,-,-,-,-,-,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2017-12-10,-,-,-,-,-,-,Red,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2017-12-11,-,-,-,-,-,-,Red,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2017-12-12,-,-,-,-,-,-,Red,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2017-12-13,-,-,-,-,-,-,Red,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2017-12-14,-,-,-,-,-,-,Red,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2017-12-15,-,-,-,-,-,-,Red,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2017-12-16,-,-,-,-,-,-,Red,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2017-12-17,-,-,-,-,-,-,Red,-,Green,Mostly stretching. Pulled back day before.,-,-,-,-,-,-,Green,-,-,-
2017-12-18,-,-,-,-,-,-,Red,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2017-12-19,-,-,-,-,-,-,Red,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2017-12-20,-,-,-,-,-,-,Red,-,Green,"Back still sore. Omitted kettlebell swings. 
Did 30sec each side l-sits and QL Walks 10f 10b",-,-,-,-,-,-,Green,-,-,-
2017-12-21,-,-,-,-,-,-,Red,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2017-12-22,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2017-12-23,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2017-12-24,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2017-12-25,-,-,-,-,-,-,Red,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2017-12-26,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2017-12-27,-,-,-,-,-,-,Red,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2017-12-28,-,-,-,-,-,-,Red,-,Blue,"Left lower back messed up.
Need a rest day",-,-,-,-,-,-,Green,-,-,-
2017-12-29,-,-,-,-,-,-,Red,-,Green,-,-,-,-,-,-,-,Green,-,-,-
